"text", "translation"
"実は、ファースリッパのふわふわ度を\\n内心レビューする癖がある。","Has a habit of reviewing the fluffiness of fur slippers in her head."
"実は、風呂上がりはフルーツ牛乳派。","Actually likes drinking fruit milk after a bath."
"実は、好きな映画のベスト10のうち\\n半分がホラー。","Half of her top ten favorite movies are horror."
"実は、1年で12㎝も背が伸びたことがある。","Once grew 12cm taller in a year."
"実は、天気が悪いと\\nちょっとだけ声が小さくなる。","Her voice gets subtly quieter when the weather is bad."
"実は、ルームメイトが\\nいない時は寝つけない。","Actually can't sleep when her roommate is not around."
"実は、パパの言うことだけは\\n絶対に聞かない。","Will never listen to her dad."
"実は、牛に好かれやすい。","Is actually easily liked by cows."
"実は、いつか自分のネイルブランドを\\n立ち上げる野望がある。","Has ambitions to start her own nail brand someday."
"実は、炭酸飲料が飲めない。","Actually can't drink carbonated drinks."
"実は、学園一綺麗に前転ができる。","Has the cleanest forward roll in the whole school."
"実は、エレベーターがちょっと苦手。","Is not a big fan of elevators."
"実は、今の帽子は3代目。","Her current hat is the third generation."
"実は、三つ編みの数は正確に決まっている。","Is very exact with her number of braids."
"実は、教わったパリピ語を\\nすべて日記に残している。","Keeps all of the normie words she was taught in her diary."
"実は、とりまメンブレの時は\\nズッ友にかまちょ、と思っている。","Wants her BFFs to cheer her up when she's bummed out."
"実は、ムーンウォークが得意。","She's actually good at moonwalking."
"実は、お父さまからもらった\\nジュークボックスが宝物。","Treasures the jukebox that her father gave her."
"実は、好きなものはたいていひと目惚れ。","Things she likes were usually love at first sight."
"実は、赤い車が通るとつい見てしまう。","Can't help but look when a red car passes by."
"実は、小型飛行機の免許を持っている。","Holds a light aircraft pilot license."
"実は、カラフルな大特価チラシを\\n見るのが好き。","Likes to look at the big colorful discount flyers."
"実は、動揺すると\\n幼児のような字しか書けなくなる。","Starts writing like a toddler when agitated."
"実は、おんぶが上手で\\n背負われた人はすぐ眠くなる。","She's good at giving piggy-back rides. The person on her back tends to get sleepy very easily."
"実は、同じシューズを\\n何足もストックしている。","She has actually stocked up on several pairs of the same shoes."
"実は、小さい頃は海辺でよく遊んでおり\\nみんなから『浜の帝王』と呼ばれていた。","When she was little, she used to play at the beach and was called the \"Ruler of the Beach\" by everyone."
"実は、ナタデココを\\n飲み込むタイミングで迷いがち。","She gets confused about when you should swallow Nata De Coco."
"実は、自分のファンクラブが主催する\\nお茶会によく参加している。","She often attends tea parties organized by her fanclub."
"実は、将来の夢は『どて煮』だった。","She's actually really good at cleanly cutting her nails."
"実は、意味のない嘘は山ほどつくが、\\n意味のある嘘はほとんどつかない。","She tells a lot of meaningless lies, but very few meaningful ones."
"実は、お年玉は\\nバイクのために貯めている。","She's been saving up her New Year's money for a motorcycle."
"実は、好きな漫画の作者に\\nまめにファンレターを送っている。","She often sends fan letters to her favorite manga authors."
"実は、バーベキューのシメは\\nハンバーガー派。","When it comes to barbecues, she actually prefers hamburgers."
"実は、抹茶ラテは\\n『和』としてアリかナシかで悩んでいる。","She can't decide if a matcha latte is a Japanese drink or not."
"実は、後輩に教えてもらいながら\\nウマスタにキャラ弁をアップしている。","Her underclassmen help her post her character bento boxes to Umastagram."
"実は、ミルクティーは\\nミルクインファースト派。","She actually pours milk in before her tea."
"実は、ものすごいくすぐったがり。","She's actually very ticklish."
"実は、愛用の手鏡は\\n小学生の頃から使い続けているもの。","Her favorite hand mirror is the one she's been using since she was in elementary school."
"実は、ハンコをいかに垂直＆綺麗に押せるか\\n挑戦するのが書類仕事中の密かな楽しみ。","It's a secret pleasure of hers to try to press a stamp vertically and neatly while she's doing paperwork."
"実は、リラックスしたい時には\\nショパンのCDを聴く。","She listens to Chopin's CDs when she wants to relax."
"実は、首がきゅっとなる服はニガテ。","She surprisingly can't handle hot foods."
"実は、アクション映画にはうるさい。","She's very picky about action movies."
"実は、服は必ず試着してから買う。","She actually spends a long time choosing sweat towels."
"実は、いつか500色セットの\\n色鉛筆を買うのが夢。","Her dream is to buy a set of 500 color pencils someday"
"実は、私服はネットで適当に買うので\\n大体サイズが合わない。","She carelessly buys her clothes online, so they usually don't fit."
"実は、いろいろなスポーツの\\nルールに詳しい。","She's actually quite knowledgeable about the rules of various sports."
"実は、服やコスメを見ると、それが\\n似合いそうな知り合いの顔が浮かぶ。","When she looks at clothes or cosmetics, she sees faces of people she knows who would look good in them."
"実は、緑茶を淹れるのが得意。","She keeps the shogi piece \"kyousha\" as a lucky charm."
"実は、父の影響でゴルフに詳しい。","She knows a lot about golf because of her father's influence."
"実は、トンボを素手で捕まえるのが得意。","She is really good at catching dragonflies with her bare hands."
"実は、招き猫の『にゃーさん』と髪留めの\\n『だるまん』は、祖母からのプレゼント。","Her lucky cat \"Nyaa-san\" and her hairpin \"Daruman\" were presents from her grandmother."
"実は、折り紙が得意。","She's good at origami."
"実は、ドラマを見る時は\\nつい独り言でツッコミを入れてしまう。","She ends up talking herself when she watches dramas."
"実は、暑さ・寒さへの対処法の\\n知識がプロ並み。","She knows how to cope with the heat and cold like a pro."
"実は、たこ焼き機は断然直火派。","She's good at cooking a lot of dishes, especially bean sprouts and hanpen."
"実は、最近ヴァイオリンで\\n『うまぴょい伝説』が弾けるようになった。","She recently learned how to play \"Umapyoi Densetsu\" on the violin."
"実は、バナナなら5秒で食べられる。","She can eat a banana in five seconds."
"実は、深海魚に結構詳しい。","She actually loves mountain-climbing."
"実は、おんぶしてもらった人からは\\n『とっても背中が大きく感じた』と評判。","Because of her father's jokes when she was younger, she thinks that her tail will get struck by lightning."
"実は、ひとりで川魚を\\n釣れるし捌けるし焼ける。","She can catch, handle, and cook river fish by herself."
"実は、どんな箱でも綺麗に素早く\\nラッピングできる。","She can wrap any box neatly and quickly."
"実は、イタリアのプロサッカー中継を\\nちょくちょく見ている。","She often watches live Italian professional soccer games."
"実は、ハッカ味はやや苦手だが\\n我慢して食べている。","She doesn't like the taste of mint, but she tolerates it."
"実は、どんな場所でもすぐに寝つける。","She can fall asleep anywhere"
"実は、ソロキャンプの動画に\\n地味にハマっている。","She's addicted to solo-camping videos."
"実は、いい香りの消しゴムを\\n何個もコレクションしている。","She has a collection of scented erasers."
"実は、お箸で絹ごし豆腐を\\nきれいに掴める。","She can use chopsticks to cleanly grasp soft tofu."
"実は、太陽か星さえ見れば\\n大体の時刻がわかる。","She actually knows the approximate time of day as long as she looks at the sun or the stars."
"実は、ヤギの目を見ると\\nなんとなく気持ちがわかる。","When she looks into a goat's eyes, she can somewhat understand how they feel."
"実は、ピアノとおゆうぎの腕前は\\n幼稚園の先生並み。","Her piano playing skills and ability to play games with children are on par with those of a kindergarten teacher."
"実は、たまに猛禽カフェに通っている。","She actually enjoys going to owl cafes."
"実は、注射の時は目をつぶってしまう。","She closes her eyes when she's giving other people shots."
"実は、パンの種類によって\\nどこのパン屋で買うかこだわりがある。","She's particular about which bakery she buys her bread from, depending on the type of bread."
"実は、畳職人に憧れている。","She longs to become a tatami craftsman."
"実は、合気道の有段者。","She has a black belt in aikido."
"実は、カブトムシを捕まえるのが\\nものすごくうまい。","She's extremely good at catching beetles."
"実は、駅弁の中身を見ただけで\\nどこのものか当てられる。","She can guess the origin of a station lunch just by looking at its contents."
"実は、歯磨きに10分以上かけている。","She actually spends more than 10 minutes brushing her teeth."
"実は、自分が持っている\\nぬいぐるみ全員に名前を付けている。","She names all of her stuffed animals."
"実は、洋酒の香りがする\\nお菓子が好き。","She enjoys sweets with a hint of Western liquor."
"実は、朝のテレビの星座占いを\\nわりと真に受けている。","She actually takes morning TV horoscopes rather seriously."
"実は、歌劇には\\nほんのちょっと詳しい。","She's a bit of an opera buff."
"実は、歯がすごく丈夫。","She has very strong teeth."
"実は、歌舞伎が好きでよく観に行く。",""
"実は、ネーミングセンスが独特。","She has a peculiar way of naming things."
"実は、ハンバーガーの食べ方がヘタ。","She's terrible at eating hamburgers."
"実は、日焼け止めはとにかく\\nいいものを使う主義。","She has a principle to use sunscreen no matter what."
"実は、ぶっちゃけ正座は10秒でキャパい。","She has a 10-second capacity for sitting on the floor."
"実は、目薬をさす時\\nなぜか口も開いてしまう。","She's actually good at moonwalking."
"実は、ラーメンが上手くすすれない。","She can't slurp down her ramen well."
"実は、砂糖菓子を食べだすと\\n止まらなくなってしまう。","When she starts eating sugar candy, she can't stop."
"実は、ワサビは平気だけどカラシはだめ。","She's fine with wasabi, but not with mustard."
"実は、行きつけのビリヤード場が\\n国内外に複数ある。","She frequents several billiard halls in Japan and abroad."
"実は、万華鏡は何時間でも眺めていられる。","She can look at a kaleidoscope for hours."
"実は、動物モノの映画は予告で\\n泣いてしまうので見られない。","She can't watch animal movies because she cries at the previews."
"実は、走っている電車を眺めるのが好き。","She likes to watch the trains running."
"実は、怒った顔だけは父親そっくり。","Her angry face shares a striking resemblance with her father's."
"実は、早口言葉が得意。","She's good at talking fast."
"実は、蕎麦の食べ歩きブロガーとして\\n通の間で人気。","She is popular among connoisseurs as a blogger that writes about soba restaurants."
"実は、SNSには買った服や\\n自作ネイルなどの画像しかアップしない。","She only uploads images of clothes she buys and handmade nails on her social media."
"実は、嬉しいことがあった日は\\n土鍋でご飯を炊く。",""
"実は、学食に回転寿司を導入しようとして\\n止められたことがある。",""
"実は、7か国語が話せる。",""
"実は、ひったくり犯を捕まえて\\n感謝状をもらったことがある。",""
"実は、衣装は自作。",""
"実は、コーヒーを2杯以上飲むと\\n夜眠れない。",""
"実は、いつかひとり旅を\\nしたいと思っている。","She would like to travel alone someday."
"実は、水たまりは基本、飛び越したい。","Puddles are like fundementals, she would rather jump over them."
"実は、人によく道をたずねられることが\\nひそかな自慢。","She's secretly proud that people often ask her for directions."
"実は、トランペット演奏の腕は\\nなかなかのもの。","She's quite good at playing the trumpet."
"実は、かしわ餅は無限に\\n食べられるくらい好き。","She likes Kashiwa Mochi so much that she could eat it forever."
"実は、ゲン担ぎをしないのが\\n1番のゲン担ぎだと思っている。",""
"実は、1番好きなヒーローは遠山の金さん。","Her favorite hero is Kin-san from Toyama."
"実は、ひとりで観光できる程度には\\nフランス語を勉強している。","She's studied French to the extent that she could go solo sightseeing."
"実は、歌声は祖母似。","Her singing voice is similar to her grandmother's."
"実は、『お嬢ん家のわんこ、サフィーちゃん\\nってゆーんだけど超絶カワイイ』らしい。","Someone said \"The Young Lady's dog, Sapphy, is super cute.\""
"実は、モノマネが得意だけど\\nあまり見せてくれない。","She is good at voice impressions, but doesn't do them very often."
"実は、好きな絵本の影響で\\n白鳥モチーフの持ち物が多い。",""
