"text", "translation"
"父親と電話すると、切る前に必ず泣かれる","Whenever she calls her father, he always cries before she hangs up."
"実家の託児所は、アットホームさが評判","Her family's day-care center has a reputation for making people feel at home."
"髪飾りは、母お手製のアイドル衣装第1号","Her hair ornament is from the first idol costume that her mother made."
"両親が最新家電を語りだすと日が暮れる","Her parents can talk about the latest household appliances until the sun goes down."
"野菜から食べなさい、が1番怒られた思い出","Her parents always told her to eat her veggies first, that always made her the most upset."
"家族全員、寝相が悪い","All of her family members are poor sleepers."
"ママ友BNWが結成秒読みとのウワサ","Rumor has it that the moms of BNW are friends now."
"両親からもらったじょうろは今も宝物","Her most treasured item is a watering can given to her by her parents."
"1番好きな母の料理は、にんじんごはん","Her favorite dish was her mother's carrot rice."
"熱血体育教師の父は、師匠であり原点","Her father, a passionate gym teacher, is her mentor and origin point."
"優秀な姉は、妹の明るさに憧れている","Like an excellent older sister, she admires her younger sister's cheerfulness."
"転勤族ゆえに語学堪能。娘も、言わずもがな","She is proficient in many languages due to her family's frequent relocation."
"『ベルちゃん』呼び禁止令に、父は凹みがち","Her father is sad that he can no longer call her \"Ber-chan\""
"実家のスナックには娘の記事が飾ってある","Her parents' snack bar is decorated with articles about their daughter."
"母は家事が壊滅的にできず、使用人がいる","Her mother is catastrophically incapable of housework, so she has servants."
"帰省すると実家の定食屋に横断幕がかかる","Whenever she goes home, her parents hang a banner at their restaurant."
"父はゴルフの師匠だが、スコアは逆転した","Her father is a master golfer, but their scores have been reversed."
"死んだフリにいつも騙されるパパママわら","Playing dead always fools her parents lol"
"父は名士であり、ウマ娘界の慈善家でもある","Her father is a distinguished man and a philanthropist in the horse girl world."
"父の弟子たちも同居の、30人家族","A family of 30 people, including her father's disciples, live with her."
"夕飯は家族でよく鍋を囲んでいた","Dinner was often a potluck with her family."
"母が、学園の友だちを家に招きたがっている","My mother wants me to invite my friends from the academy over to our house."
"帰省した時は必ず祖父の肩たたきをする","Whenever she returns home, she always pats her grandfather on the shoulder."
"帰省シーズンは家族総出で迎えに来る","During homecoming season, her whole family comes to pick her up."
"地元で、妖精が住むファンシーな家と有名","Her home is famous in her hometown for being a fancy house where fairies live."
"ソファで眠る母をベッドまで運ぶ係だった","When her mother fell asleep on the couch, she was in charge of carrying her to bed."
"きょうだいが多いから、とっても賑やか☆","She has a lot of siblings, so her home is very lively ☆"
"仕送りには、必ず苫小牧銘菓が入っている",""
"家族で1番、母親がゆったりしている","Her mother is the most relaxed person in her family."
