"text", "translation"
"サポート効果「賢さ友情回復量アップ」は\n友情トレーニングで多く体力が回復します。","The support effect \"Wisdom Friendship Recovery Amount Up\" recovers a lot of energy through friendship training."
"絆ゲージがオレンジになると、友情\nトレーニングが発生するようになります。","When the bond gauge turns orange, friendship training will be triggered."
"友情トレーニングが複数発生した場合は\nさらに効果が高くなりますよ。","It's even more effective when multiple friendship training sessions occur."
"サポートカードを編成すると、そのカードに\n沿ったイベントが発生しやすくなりますよ。","The more support cards you organize, the easier it will be for the events that go along with those cards to occur."
"編成していないサポートカードの\nイベントが発生することもありますよ。","Sometimes you'll get an event for a support card you don't have organized."
"育成ウマ娘と同じサポートカードは\n編成できないので注意してくださいね。","Please note that you cannot form the same support card as the Uma Musume you are training."
"不要なサポートカードは蹄鉄に変換でき、\nショップでアイテムと交換ができますよ。","Unwanted support cards can be converted into horseshoes, which can be exchanged for items in the store."
"サポートカード詳細の「育成イベント」から\n獲得可能なスキルヒントを確認できます。","You can check the skill hints you can get from \"Training Events\" in the support card details."
"育成ウマ娘は強化アイテムとマニーを\n使用すると覚醒Lvが上げられますよ。","You can raise the Awakening Lv of your Uma Musume by using Strengthening Items and Manny."
"育成ウマ娘の覚醒Lvが上がると、育成\n開始時に獲得可能なスキルが増えますよ。","The higher the awakening Lv of your Uma Musume, the more skills you can acquire at the start of your training."
"覚醒Lvを上げる強化アイテムは、\n育成のGⅢ以上のレースで\n1着を取ると手に入りますよ。","You can get the enhancement item that raises your awakening Lv by taking first place in a race of GIII or higher in training."
"同じウマ娘のピースを集めることで\n才能開花できるようになりますよ。","You'll be able to develop your talent by collecting pieces of the same horse girl."
"ウマ娘を才能開花すると固有スキルのLvや\n基礎能力がアップしますよ。","If you make your Uma Musume more talented, the Lv of her unique skills and basic abilities will increase."
"★2以下の育成ウマ娘は★3以上になると\n勝負服が獲得できますよ。","You can get a victory suit for a horse girl that is under 2 when she becomes 3 or higher."
"不要なピースはクローバーに変換でき、\nショップでアイテムと交換できますよ。","You can convert unwanted pieces into clovers, which can be exchanged for items in the store."
"殿堂入りウマ娘は、継承やチーム競技場など\n各種レースで活用できますよ。","You can use your Hall of Fame horse girls in various races such as inheritance and team arenas."
"殿堂入りウマ娘は、一度移籍すると\n元には戻せないので注意してくださいね。","Please note that once a horse girl has been transferred to the Hall of Fame, she cannot be reverted."
"育成完了時の評価点はパラメータの合計値と\n獲得スキルから計算されています。","The evaluation points at the completion of training are calculated from the total value of parameters and acquired skills."
"殿堂入りウマ娘は、育成状況に応じて\n確率で因子を獲得しますよ。","In the Hall of Fame, you'll get a probability of getting a factor based on your training."
"因子にはレアリティがあり、★の数が\n多いほど、効果が高くなります。","Factors have a rarity, and the more ★'s there are, the more effective they are."
"育成で良い結果を出すほど\n多くの因子が獲得しやすくなります。","The better you do in training, the easier it is to acquire more factors."
"因子には育成開始時の継承イベントで\n効果を発揮するものがあります。","Some factors have an effect on the inheritance event at the start of training."
"基礎能力の因子が発動すると\nパラメータがアップします。","When the basic ability factor is activated, the parameter is increased."
"適性の因子が発動すると\nバ場、距離、脚質の適性がアップします。","When the aptitude factor is activated, it increases the aptitude of the stable, distance, and legs."
"スキルの因子が発動すると\nスキルのヒントLvがアップしますよ。","When a skill's factor is activated, the skill's hint Lv will increase."
"レースの因子が発動するとパラメータや\nスキルのヒントLvがアップします。","When the race factor is activated, the parameter and skill hint Lv is increased."
"既に獲得しているスキルの因子の継承効果が\n発動するとステータスが上昇します。","If the inheritance effect of a factor of a skill you have already acquired is activated, your status will increase."
"継承ウマ娘は育成で利用しても、なくなら\nないので、どんどん活用しましょう。","Inherited Uma Musume can be used in training, but not lost, so keep using them."
"継承ウマ娘はフレンドからマニーを使用\nすることで、レンタルできますよ。","You can rent inherited Uma Musume from your friends by spending Manny."
"継承ウマ娘には相性が良い順番に\n◎＞○＞△と表示されます。","Inherited daughters are displayed in order of affinity: ◎ > ○ > △."
"クラスメイト、同室、メジロ家といった\n関係性が相性の良さに影響するとか……。","Relationships, such as classmates, roommates, and the Mejiro family, affect how well they work together. ......"
"サークルメンバーから継承ウマ娘をレンタル\nする場合、マニーが割引されますよ。","If you rent an inherited horse girl from a circle member, you'll get a discount on the manny."
"時には、フレンドの「代表ウマ娘」の\n育成情報も参考にしてみましょう。","Sometimes, you can also refer to the training information of your friend's \"representative horse girl\"."
"掛かっていると焦って持久力を失います。\n賢さを上げると発生しにくくなりますよ。","If you are in a hurry, you will lose your endurance.\nIf you increase your cleverness, it will be less likely to occur."
"コース取りが上手いと、前にウマ娘が\nいる時にかわして前に進みやすいですよ。","If you have a good course, it's easy to dodge and move forward when there is a horse girl in front of you."
"短距離レースでは\n特にスピードが重要です。","Speed is especially important in short distance races."
"マイルレースでは\n特にスピードとパワーが大事です。","Speed and power are especially important in a mile race."
"中距離レースでは\nバランスの良い基礎能力が大事です。","In middle-distance races, a well-balanced basic ability is important."
"長距離レースでは\n特にスタミナと根性が大事です。","Stamina and perseverance are especially important in long distance races."
"パドックでの印は◎＞○＞▲＞△の順で\n高く評価されていることを表します。","The markings in the paddock indicate that the horse is highly regarded in the order of ◎>○>▲>△."
"お出かけすると、やる気が上がったり\n体力が回復したりしますよ。","When you go out, you will feel more motivated and regain your strength."
"神社にお出かけに行くと悪い\nコンディションが解消されるかも？","Maybe a trip to the shrine will help you get rid of bad conditions?"
"乙名史記者と絆を深めると\nURAファイナルズ後に……？","If you bonded with the Okonagh history reporter, you could get a ...... after the URA Finals?"
"継承ウマ娘の相性が良いと\n想いを受け継ぎやすいとか……。","It's easier to pass on thoughts when the inherited horse girl is a good match or ......."
"サポートカードイベントでは、\nレアスキルのヒントLvが上がることも！？","Support card events can also increase the hint LV of rare skills!"
"「ホーム」の学園の掲示板には\nウマ娘に関する情報が掲載されています。","You can find information about Uma Musume in the \"Home\" section of the school's bulletin board."
"短距離は1400m以下のレースで、\nマイルは1401m～1800mまでの\nレースのことです。","Short distance is a race of 1400m or less, and mileage is a race from 1401m to 1800m."
"中距離は1801m～2400mまでのレースで、\n長距離は2401m以上のレースのことです。","Middle distance refers to races between 1801m and 2400m, while long distance refers to races over 2401m."
"雨や雪により良、稍重、重、不良の順で\nバ場状態は悪化し、走りづらくなります。","Rain and snow will worsen the conditions of the course in the order of good, slightly heavy, heavy, and poor, making it difficult to run."
"GⅠ＞GⅡ＞GⅢ＞OP＞Pre-OPの順で\nレースの格（グレード）は高くなります。","The grade of the race is higher in the following order: GI > GII > GIII > OP > Pre-OP."
"グレードの高いレースほど、\n強いウマ娘が集いやすくなります。","The higher the grade of the race, the easier it is to gather strong Uma Musume."
"GⅢ、GⅡ、GⅠは重賞と呼ばれ、\nその中でもGⅠが最も格の高いレースです。","G3, G2, and G1 are called major prizes, with G1 being the most prestigious race of them all."
"育成ウマ娘の固有スキルの因子は\n★3以上になると獲得できますよ。","The factors of the unique skills of the Uma Musume you train will be acquired when they reach the level of ★3 or higher."
"URAファイナルズのコースは育成中に最も\n多く出たコースを参考に選ばれるんですよ。","The courses for the URA Finals are chosen based on the courses that we get the most out of during training."
"春シニア三冠とは大阪杯、天皇賞（春）、\n宝塚記念の3レースの総称です。","The Spring Senior Triple Crown is the general term for the three races: Osaka Cup, Tennoushou (Spring), and Takarazuka Kinen."
"トリプルティアラとは桜花賞、オークス、\n秋華賞の3レースの総称です。","Triple Tiara is the collective name for the three races: Sakurahana-sho, Oaks, and Akka-sho."
"秋シニア三冠とは天皇賞（秋）、\nジャパンC、有馬記念の3レースの\n総称です。","The Fall Senior Triple Crown is a general term for the three races: Tennoushou (Autumn), Japan C, and Arima Kinen."
"クラシック三冠とは皐月賞、日本ダービー、\n菊花賞の3レースの総称です。","The Classic Triple Crown is a general term for the three races of Satsuki-sho, Nippon Derby, and Kikka-sho."
"未読イベントをスキップしたくない場合は、\nオプションから設定できますよ。","If you don't want to skip the unread events, you can set it from the options."
"未解放育成ウマ娘は、ピースを使用すること\nでも育成できるようになります。","You can also train unreleased Uma-Musume by using pieces."
"成長率とは、トレーニングでの\n基礎能力の上がりやすさのことです。","The growth rate is the ease with which your basic skills increase with training."
"ヒントLvはレベルが上がるにつれて\n獲得に必要なスキルPtが低くなりますよ。","Hint Lv, the skill Pt you need to acquire becomes lower as the level increases."
"チーム競技場やルームマッチなどでは\n他のウマ娘のスキル発動も確認できます。\nオプションで非表示にもできますよ。","You can also check the skills of other Uma Musume in the team arena and room matches.\nYou can also hide them in the options."
"実は、利き牛乳ができる。","In fact, you can do a milk tasting."
"実は、ペン回しが得意。","In fact, she is good at penmanship."
"実は、歴代トップの前屈記録保持者。","In fact, she is the top forward bending record holder of all time."
"実は、助手席だと車酔いしやすい。","In fact, I tend to get carsick when I'm in the passenger seat."
"実は、シルクハットから鳩が出せるし、\n何もないところからシルクハットが出せる。","In fact, you can get a pigeon out of a silk hat, and you can get a silk hat out of nothing."
"実は、爪を綺麗に切るのがとても上手い。","In fact, I'm very good at cutting my nails cleanly."
"実は、雑学クイズに恐ろしく強い。","In fact, she is terribly good at trivia quizzes."
"実は、カウンターの上で\nグラスを滑らせる練習をしている。","Actually, I'm practicing sliding the glass on the counter."
"実は、定規を使わなくても\n真っ直ぐ線が引ける。","Actually, you can draw a straight line without using a ruler."
"実は、ファストドローの大会で\n優勝したことがある。","In fact, I've won a fast draw tournament."
"実は、スカート丈に\nひそかなこだわりがある。","In fact, I have a secret obsession with skirt length."
"実は、あて布のセンスが独特。","In fact, she has a unique sense of applying cloth."
"実は、『かっとばせー！』という\n自分の寝言で起きることがある。","In fact, I sometimes wake up to my own sleepy voice saying, \"Let's kick some ass! In fact, I sometimes wake up to the sound of my own sleep."
"実は、マスク専用の柔軟剤を持っている。","In fact, I have a special fabric softener for masks."
"実は、耳飾りのデザインを、\n1度だけ大きく変更したことがある。","In fact, I have made one major change to the design of the earring."
"実は、一度見た相手の顔は忘れない。","As a matter of fact, I never forget a person's face once I see them."
"実は、虫嫌いだが\nテントウムシだけは好き。","Actually, I don't like bugs, but I like ladybugs."
"実は、びっくりするほど猫舌。","In fact, I'm surprisingly catty."
"実は、どんな紙を渡されても\nよく飛ぶ飛行機が折れる。","In fact, you can fold an airplane that flies well no matter what kind of paper is given to you."
"実は、汗拭きシート選びに\nたくさん時間をかけている。","In fact, I spend lots of time choosing sweat sheets."
"実は、朝食だけはパン派。","Actually, I am a bread person only for breakfast."
"実は、海外からひんぱんに\n小包みが届いている。","In fact, I receive packages from overseas frequently."
"実は、インナー選びにはかなりこだわる。","In fact, I am very particular about my choice of innerwear."
"実は、目覚ましは2分間隔で何度も鳴る。","In fact, my alarm goes off several times at two-minute intervals."
"実は、『香車』のコマをお守りにしている。","In fact, I use the frame of the \"incense wheel\" as a talisman."
"実は、おもちを丸めるのが上手。","In fact, she is very good at rolling rice cakes."
"実は、『ふんいき』が言えない。","Actually, I can't say 'fluff'."
"実は、書道の段位を持っている。","In fact, I have a Dan level in calligraphy."
"実は、冷蔵庫の余りもの整理の達人。","In fact, I'm an expert at organizing leftovers in the refrigerator."
"実は、当たるまでくじを引き続け、\nお財布を空っぽにしたことがある。","In fact, I once emptied my wallet by continuing to play the lottery until I won."
"実は、最後尾を走っている時は\nプラカードを持ちたくなる。","In fact, when I'm running at the tail end of the race, I feel like holding a placard."
"実は、もやしとはんぺんメインの\n得意料理がたくさんある。","In fact, there are a lot of dishes that I am good at, the main ones being bean sprouts and hanpen."
"実は、リフティングが大得意。","In fact, she is very good at lifting."
"実は、ヘアスプレーのレビュアー。","Actually, a reviewer of hairspray."
"実は、登山好き。","Actually, I like climbing mountains."
"実は、父親の冗談のせいで\n雷が鳴ったら尻尾をとられると思っている。","In fact, because of his father's joke, she thinks she will be caught by the tail when the thunder comes."
"実は、編み込みの腕だけは\nプロのヘアスタイリスト並み。","In fact, her braiding skills are on par with a professional hair stylist."
"実は、同級生から月に3回以上は\n『お姉ちゃん』と呼び間違えられる。","As a matter of fact, my classmates mistakenly call me 'big sister' at least three times a month."
"実は、右クリックの時だけ\n体が右に傾くクセがある。","In fact, I have a habit of leaning to the right only when I right-click."
"実は、童話の語り聞かせが得意。","In fact, she is good at telling fairy tales."
"実は、手書きPOPの腕がプロ級。","In fact, she is a pro at handwriting POP."
"実は、音ゲー専用のプレイヤー名がある。","In fact, there is a player name dedicated to sound games."
"実は、お手玉なら永遠に続けられる。","In fact, you can go on forever with a magic ball."
"実は、授業中に悪い奴が現れた時の対処法を\n10パターン以上考えている。","In fact, I have more than ten patterns of what to do when a bad guy shows up in class."
"実は、古代遺跡に詳しい。","Actually, I'm familiar with ancient ruins."
"実は、激辛派。","Actually, I'm a very spicy person."
"実は、自作の少女漫画ノートが\n引き出しの奥深くに眠っている。","In fact, I have my own shoujo manga notebooks lying deep in a drawer."
"実は、咥えている枝は自家栽培。","In fact, the branch I'm sucking on is homegrown."
"実は、ノートを使い切るのがやたら早い。","In fact, I'm running out of notebooks very quickly."
"実は、ファースリッパのふわふわ度を\n内心レビューする癖がある。","In fact, I have a habit of inwardly reviewing the fluffiness of fur slippers."
"実は、風呂上がりはフルーツ牛乳派。","Actually, I'm a fruit milk drinker after taking a bath."
"実は、好きな映画のベスト10のうち\n半分がホラー。","In fact, half of my top ten favorite movies are horror."
"実は、1年で12㎝も背が伸びたことがある。","In fact, I've grown 12 cm taller in a year."
"実は、天気が悪いと\nちょっとだけ声が小さくなる。","In fact, my voice gets a little shrill when the weather is bad."
"実は、ルームメイトが\nいない時は寝つけない。","Actually, I can't sleep when my roommate is not around."
"実は、パパの言うことだけは\n絶対に聞かない。","In fact, I never just listen to my dad."
"実は、牛に好かれやすい。","In fact, cows like me easily."
"実は、いつか自分のネイルブランドを\n立ち上げる野望がある。","In fact, I have ambitions to start my own nail brand someday."
"実は、炭酸飲料が飲めない。","Actually, I can't drink carbonated drinks."
"実は、学園一綺麗に前転ができる。","In fact, I can do the cleanest forward roll in the school."
"実は、エレベーターがちょっと苦手。","To tell you the truth, I'm not a big fan of elevators."
"実は、今の帽子は3代目。","In fact, my current hat is the third generation."
"実は、三つ編みの数は正確に決まっている。","In fact, there is an exact number of braids."
"実は、教わったパリピ語を\nすべて日記に残している。","In fact, I have kept a diary of all the Parisian words I was taught."
"実は、とりまメンブレの時は\nズッ友にかまちょ、と思っている。","In fact, I'm thinking of asking Zutto for help when I'm in a membrance."
"実は、ムーンウォークが得意。","In fact, she is good at moonwalking."
"実は、お父さまからもらった\nジュークボックスが宝物。","In fact, she treasures the jukebox that his father gave him."
"実は、好きなものはたいていひと目惚れ。","In fact, what I like is usually love at first sight."
"実は、赤い車が通るとつい見てしまう。","In fact, I can't help but look when a red car passes by."
"実は、カラフルな大特価チラシを\n見るのが好き。","Actually, I like to look at the colorful big discount flyers."
"実は、動揺すると\n幼児のような字しか書けなくなる。","In fact, when I get upset, I can only write like a toddler."
