"text", "translation"
"パドックでの印は◎＞○＞▲＞△の順で\\n高く評価されていることを表します。","The marks in the paddock indicate appraisal in the order of ◎>○>▲>△."
"お出かけすると、やる気が上がったり\\n体力が回復したりしますよ。","Going out increases motivation and recovers energy."
"神社にお出かけに行くと悪い\\nコンディションが解消されるかも？","Maybe a trip to the shrine will help you get rid of bad conditions?"
"乙名史記者と絆を深めると\\nURAファイナルズ後に……？","If you bonded with reporter Otonashi, after the URA Finals …?"
"継承ウマ娘の相性が良いと\\n想いを受け継ぎやすいとか……。","It's easier to pass on feelings when the parent Uma Musu are a good match."
"サポートカードイベントでは、\\nレアスキルのヒントLvが上がることも！？","Support card events can also increase the Hint LV of rare skills!"
"「ホーム」の学園の掲示板には\\nウマ娘に関する情報が掲載されています。","The school's bulletin board (Home) holds info about horsegirls."
"短距離は1400m以下のレースで、\\nマイルは1401m～1800mまでの\\nレースのことです。","Short distance means 1400m or less, and mile is from 1401m to 1800m."
"中距離は1801m～2400mまでのレースで、\\n長距離は2401m以上のレースのことです。","Middle distance is between 1801m and 2400m, while long distance starts from 2401m."
"雨や雪により良、稍重、重、不良の順で\\nバ場状態は悪化し、走りづらくなります。","Rain/snow worsen the going; good > yielding > soft > heavy, making it difficult to run."
"GⅠ＞GⅡ＞GⅢ＞OP＞Pre-OPの順で\\nレースの格（グレード）は高くなります。","The grade of races follows this order: GI > GII > GIII > OP > Pre-OP."
"グレードの高いレースほど、\\n強いウマ娘が集いやすくなります。","The higher the grade of the race, the more likely strong horsegirls will gather."
"GⅢ、GⅡ、GⅠは重賞と呼ばれ、\\nその中でもGⅠが最も格の高いレースです。","G3, G2, and G1 are \"big prize\" graded races, G1 being the most prestigious."
"育成ウマ娘の固有スキルの因子は\\n★3以上になると獲得できますよ。","Unique skill factors can be acquired once your Uma Musu is ★3 or higher."
"URAファイナルズのコースは育成中に最も\\n多く出たコースを参考に選ばれるんですよ。","Courses for the URA Finals are based on which you ran the most during training."
"春シニア三冠とは大阪杯、天皇賞（春）、\\n宝塚記念の3レースの総称です。","Spring Senior Triple Crown: Osaka Hai, Tennoushou (Spring), Takarazuka Kinen."
"トリプルティアラとは桜花賞、オークス、\\n秋華賞の3レースの総称です。","Triple Tiara is the collective name for: Oka Sho, Oaks, Shuka Sho."
"秋シニア三冠とは天皇賞（秋）、\\nジャパンC、有馬記念の3レースの\\n総称です。","Fall Senior Triple Crown: Tennoushou (Fall), Japan C, Arima Kinen."
"クラシック三冠とは皐月賞、日本ダービー、\\n菊花賞の3レースの総称です。","Classic Triple Crown: Satsuki Sho, Nippon Derby, Kikka Sho."
"未読イベントをスキップしたくない場合は、\\nオプションから設定できますよ。","If you don't want to skip unread events, you can set this in the options."
"未解放育成ウマ娘は、ピースを使用すること\\nでも育成できるようになります。","You can also gain unobtained Uma-Musume by using pieces."
"成長率とは、トレーニングでの\\n基礎能力の上がりやすさのことです。","The growth rate is the ease with which your basic skills increase with training."
"ヒントLvはレベルが上がるにつれて\\n獲得に必要なスキルPtが低くなりますよ。","As Hint Lv increases, Skill Pts needed to acquire skills decreases."
"チーム競技場やルームマッチなどでは\\n他のウマ娘のスキル発動も確認できます。\\nオプションで非表示にもできますよ。","You can see opponent's skill activations in PVP, or hide them in options."
