"text", "translation"
"WINNING LIVE 01　購入特典です。","WINNING LIVE 01\\npurchase bonus."
"ANIMATION DERBY Season 2 vol.01 購入特典です。","ANIMATION DERBY \\nSeason 2 vol.01 \\npurchase bonus."
"ANIMATION DERBY Season 2 vol.02 購入特典です。","ANIMATION DERBY \\nSeason 2 vol.02 \\npurchase bonus."
"ウマ娘 プリティーダービーマガジン 購入特典です。","Uma Musume Pretty \\nDerby Magazine \\npurchase bonus."
"ANIMATION DERBY Season 2 vol.03 購入特典です。","ANIMATION DERBY \\nSeason 2 vol.03 \\npurchase bonus."
"『ウマ箱２』第1コーナー 購入特典です。","\"Uma Box 2\" 1st \\nCorner purchase \\nbonus."
"TVアニメ「うまよん」ミニアルバム 購入特典です。	","TV anime \"Umayon\" \\nmini album purchase \\nbonus."
"週刊ファミ通 購入特典です。","Weekly Famitsu\\npurchase bonus."
"『ウマ箱２』第2コーナー 購入特典です。","\"Uma Box 2\" 2nd \\nCorner purchase \\nbonus."
"「STARTING GATE! ―ウマ娘プリティ\\nーダービー―」5巻 購入特典です。","<size=24>\"STARTING GATE! \\n-Umamusume Pretty \\nDerby-\" Volume 5 \\npurchase bonus. </size>"
"『ウマ箱２』第3コーナー 購入特典です。","\"Uma Box 2\" 3rd \\nCorner purchase \\nbonus."
"「STARTING GATE! ―ウマ娘プリティ\\nーダービー―」6巻 購入特典です。","<size=24>\"STARTING GATE! \\n-Umamusume Pretty \\nDerby-\" Volume 6 \\npurchase bonus. </size>"
"『ウマ箱２』第4コーナー 購入特典です。","\"Uma Box 2\" 4th \\nCorner purchase \\nbonus."
"『ウマ箱２』全巻購入特典です。","Bonus for purchasing \\nall volumes of \"Uma \\nBox 2\"."
"WINNING LIVE 02 購入特典です。","WINNING LIVE 02 \\npurchase bonus."
"STARTING GATE Unit Song Collection 購入特典です。","STARTING GATE Unit \\nSong Collection \\npurchase bonus."
"アニメ『うまよん』Blu-ray BOX 購入特典です。","Umayon Blu-ray BOX \\npurchase bonus."
"WINNING LIVE 03 購入特典です。","WINNING LIVE 03\\npurchase bonus."
"WINNING LIVE 04 購入特典です。","WINNING LIVE 04\\npurchase bonus."
"ウマ娘 プリティーダービーマガジン Vol.2 購入特典です。","Uma Musume Pretty \\nDerby Magazine Vol. \\n2 purchase bonus."
"WINNING LIVE 05 購入特典です。","WINNING LIVE 05\\npurchase bonus."
"WINNING LIVE 06 購入特典です。","WINNING LIVE 06 \\npurchase bonus."
"2nd EVENT「Sound Fanfare！」Blu-ray 購入特典です。","2nd EVENT\"Sound \\nFanfare！\" Blu-ray \\npurchase bonus"
"3rd EVENT　WINNING DREAM STAGE Blu-ray 購入特典です。","3rd EVENT \"WINNING \\nDREAM STAGE\" Blu-ray \\npurchase bonus"
"WINNING LIVE 07 購入特典です。","WINNING LIVE 07 \\npurchase bonus."
"WINNING LIVE 08 購入特典です。","WINNING LIVE 08 \\npurchase bonus."
"WINNING LIVE 09 購入特典です。","WINNING LIVE 09 \\npurchase bonus."
